target,redirectURL,title,generator,statewideAlerts,stateTemplate,JQuery,GoogleAnalytics,errorcode,errormessage
https://calrecycle.ca.gov/,,CalRecycle Home Page,CAWeb v.1.11.0,https://alert.cdt.ca.gov/alert.js?ver=1.0.0,https://calrecycle.ca.gov/wp-content/themes/CAWeb/src/version-5.5/cagov.core.js?ver=1.11.0,https://calrecycle.ca.gov/wp-includes/js/jquery/jquery.min.js?ver=3.7.1,"G-69TD0KNT0F,G-Y7T2KCM7P1,GTM-WWF6GW5,UA-12131600-15,UA-3419582-2,UA-3419582-47",,
https://calrx.ca.gov/,,CalRx - Making prescription drugs more affordable for Californians,WordPress 6.5.3,,,,"G-69TD0KNT0F,G-B15ZM3C3NN",,
https://calshape.energy.ca.gov/,,Home Page - California Energy Commission,,,https://calshape.energy.ca.gov/js/cagov.core.min.js,https://code.jquery.com/jquery-3.5.1.min.js,,,
https://calsilc.ca.gov/,,California State Independent Living Council | To create policy and systems change for independent living.,CAWeb v.1.11.0,,https://calsilc.ca.gov/wp-content/themes/CAWeb/src/version-5.5/cagov.core.js?ver=1.11.0,https://calsilc.ca.gov/wp-includes/js/jquery/jquery.min.js?ver=3.7.1,"G-69TD0KNT0F,G-9RWNEXS0MN,G-Y7T2KCM7P1,UA-21970760-45,UA-3419582-2,UA-3419582-47",,
https://calspillwatch.wildlife.ca.gov/,,Cal Spill Watch Home,,https://alert.cdt.ca.gov/,https://calspillwatch.wildlife.ca.gov/Portals/_default/skins/cagov_pasorobles/js/cagov.core.js,https://calspillwatch.wildlife.ca.gov/Resources/libraries/jQuery/03_07_01/jquery.js?cdv=483,G-3TD3C8P5WP,,
https://calsta.ca.gov/,,California State Transportation Agency | CalSTA,,https://alert.cdt.ca.gov/,https://calsta.ca.gov/js/cagov.core.min.js,https://code.jquery.com/jquery-3.4.1.min.js,"G-69TD0KNT0F,G-8PZ3KQXET8",,
https://caltreesplans.resources.ca.gov/,,IIS Windows Server,,,,,,,
https://calwater.ca.gov/,,,,,,,,ERR_TLS_CERT_ALTNAME_INVALID,"Hostname/IP does not match certificate's altnames: Host: calwater.ca.gov. is not in the cert's altnames: DNS:*.deltacouncil.ca.gov, DNS:deltacouncil.ca.gov"
https://camade.ca.gov/,,Made in California |,CAWeb v.1.5.2a,,,https://camade.ca.gov/wp-includes/js/jquery/jquery.min.js?ver=3.7.1,G-5VYECETP1N,,
https://cams.technology.ca.gov/,https://cams.technology.ca.gov/Account/Login?ReturnUrl=%2f,CAMS,,,,,UA-3419582-2,,
https://cannabis.ca.gov/,,Department of Cannabis Control,,https://alert.cdt.ca.gov/,,,"G-69TD0KNT0F,G-PJDVH1C2JS",,
https://canotify.ca.gov/,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/CANotify/CANotifyMain.aspx,CA Notify Home,,https://alert.cdt.ca.gov/,,https://www.cdph.ca.gov/Style%20Library/CDPH/js/jquery.min.js,"G-RESPONSIVE,GTM-KVN6ZCB",,
https://capiaa.ca.gov/,,"California Commission on Asian and Pacific Islander American Affairs | THE MISSION of the Commission on Asian and Pacific Islander American Affairs is to elevate the political, economic, and social issues of Asians and Pacific Islanders by contributing to and strengthening how state government addresses the needs, issues, and concerns of the diverse and complex Asian and Pacific Islander American communities.",CAWeb v.1.11.0,,https://capiaa.ca.gov/wp-content/themes/CAWeb/src/version-5.5/cagov.core.js?ver=1.11.0,https://capiaa.ca.gov/wp-includes/js/jquery/jquery.min.js?ver=3.7.1,"G-69TD0KNT0F,G-FZL67QR94L,G-Y7T2KCM7P1,UA-24087628-35,UA-3419582-2,UA-3419582-47",,
https://capitolmuseum.ca.gov/,,Home - California State Capitol Museum,CAWeb v.1.5.10,,,https://capitolmuseum.ca.gov/wp-includes/js/jquery/jquery.min.js?ver=3.7.1,"G-69TD0KNT0F,G-ZSV0Z9SPB3,UA-21974567-45,UA-64245307-1",,
https://captain.ca.gov/,,CA Autism Professional Training and Information Network - CAPTAIN,,,,https://ajax.googleapis.com/ajax/libs/jquery/1.7.2/jquery.min.js,G-7P4J8DKTKV,,
https://careereducation.gov.ca.gov/,,California Governor's Council for Career Education | Governor's Council for Career Education,CAWeb v.1.11.0,,https://careereducation.gov.ca.gov/wp-content/themes/CAWeb/src/version-5.5/cagov.core.js?ver=1.11.0,https://careereducation.gov.ca.gov/wp-includes/js/jquery/jquery.min.js?ver=3.7.1,"G-69TD0KNT0F,G-Q122BB7YXT,G-Y7T2KCM7P1,UA-3419582-2,UA-3419582-47",,
https://catc.ca.gov/,,California Transportation Commission | CTC,,https://alert.cdt.ca.gov/,https://catc.ca.gov/js/cagov.core.min.js,https://code.jquery.com/jquery-3.4.1.min.js,"G-37E6VKG1R5,G-69TD0KNT0F,UA-21970760-33",,
https://caweb.cdt.ca.gov/,,CAWeb | The CAWeb Publishing Support site,CAWeb v.1.11.0,https://alert.cdt.ca.gov/alert.js?ver=1.0.0,https://caweb.cdt.ca.gov/wp-content/themes/CAWeb/src/version-6.0/cagov.core.js?ver=1.11.0,https://caweb.cdt.ca.gov/wp-includes/js/jquery/jquery.min.js?ver=3.7.1,"G-69TD0KNT0F,G-JM9XN48M0M,G-Y7T2KCM7P1,UA-31125811-32,UA-3419582-2,UA-3419582-47",,
https://cca.ca.gov/,,California Cannabis Authority,WordPress 6.5.4,,,https://cca.ca.gov/wp-content/plugins/bb-plugin/js/jquery.easing.min.js?ver=1.4,,,
https://ccag.ca.gov/,,C/CAG,,,,https://ccag.ca.gov/wp-includes/js/jquery/jquery.min.js,G-0KSE6F1TNL,,
https://ccc.ca.gov/,,California Conservation Corps -California Conservation Corps,CAWeb v.1.1.4b,,https://ccc.ca.gov/wp-content/themes/CAWeb/js/cagov.core.js?ver=1.0,https://ccc.ca.gov/wp-includes/js/jquery/jquery.js?ver=1.12.4,"UA-3419582-2,UA-8214132-1",,
https://ccfc.ca.gov/,,First 5 California - Improving Lives of Children and Families,,,,https://ajax.googleapis.com/ajax/libs/jquery/1.11.1/jquery.js,G-ZPMNSRN8SN,,
https://cchcs.ca.gov/,,CCHCS - California Correctional Health Care Services,CAWeb v.1.11.0,,https://cchcs.ca.gov/wp-content/themes/CAWeb/src/version-5.5/cagov.core.js?ver=1.11.0,https://cchcs.ca.gov/wp-includes/js/jquery/jquery.min.js?ver=3.7.1,"G-69TD0KNT0F,G-Q9Y67HPNNY,G-Y7T2KCM7P1,GTM-T7W8RZ8,UA-3419582-2,UA-3419582-47",,
https://cchcs.hodesiq.com/,http://cchcs.ca.gov/careers/,Careers - CCHCS,CAWeb v.1.11.0,,http://cchcs.ca.gov/wp-content/themes/CAWeb/src/version-5.5/cagov.core.js?ver=1.11.0,http://cchcs.ca.gov/wp-includes/js/jquery/jquery.min.js?ver=3.7.1,"G-69TD0KNT0F,G-Q9Y67HPNNY,G-Y7T2KCM7P1,GTM-T7W8RZ8,UA-3419582-2,UA-3419582-47",,
https://ccld.ca.gov/,https://cdss.ca.gov/inforesources/community-care-licensing,Community Care Licensing,DotNetNuke ,,https://cdss.ca.gov/Portals/_default/Skins/CaGov-SantaBarbara%20-%20Partner//js/cagov.core.js,https://cdss.ca.gov/Resources/libraries/jQuery/03_02_01/jquery.js?cdv=630,UA-77698819-4,,
https://ccldpartners.ca.gov/,https://cdss.ca.gov/inforesources/community-care-licensing,Community Care Licensing,DotNetNuke ,,https://cdss.ca.gov/Portals/_default/Skins/CaGov-SantaBarbara%20-%20Partner//js/cagov.core.js,https://cdss.ca.gov/Resources/libraries/jQuery/03_02_01/jquery.js?cdv=630,UA-77698819-4,,
https://ccusl.ca.gov/,,Welcome to the California Commission on Uniform State Laws Web site | CALIFORNIA COMMISSION ON UNIFORM STATE LAWS,,,,,,,
https://cdec.water.ca.gov/,,California Data Exchange Center,,https://alert.cdt.ca.gov/,,https://ajax.googleapis.com/ajax/libs/jquery/1.8.3/jquery.min.js,"G-QMSMYVM1J1,UA-3419582-2",,
https://cdfw.ca.gov/,,,,,,,,ETIMEDOUT,connect ETIMEDOUT 134.186.52.59:443
https://cdiacforms.treasurer.ca.gov/,,Login,,,,,"UA-1867705-1,UA-3419582-2",,
https://cdlaconline.treasurer.ca.gov/,https://cdlaconline.treasurer.ca.gov/Account/Login.aspx?ReturnUrl=%2f,Log In,,,,,"UA-1867705-10,UA-3419582-2",,
https://cdnverify.bof.fire.ca.gov/,,Board of Forestry and Fire Protection,,,,,"UA-12131957-13,UA-3419582-2",,
https://cdnverify.burnpermit.fire.ca.gov/,,BURN PERMITS,,,,,"UA-12131957-17,UA-3419582-2",,
https://cdss.ca.gov/,,Home | California Dept. of Social Services,DotNetNuke ,,https://cdss.ca.gov/Portals/_default/skins/cagov-santabarbara//js/cagov.core.js,https://cdss.ca.gov/Resources/libraries/jQuery/03_02_01/jquery.js?cdv=630,UA-77698819-4,,
https://cdt.ca.gov/,,CDT - California Department of Technology,CAWeb v.1.11.0,https://alert.cdt.ca.gov/alert.js?ver=1.0.0,https://cdt.ca.gov/wp-content/themes/CAWeb/src/version-6.0/cagov.core.js?ver=1.11.0,https://cdt.ca.gov/wp-includes/js/jquery/jquery.min.js?ver=3.7.1,"G-69TD0KNT0F,G-LPLGX1HR9S,G-Y7T2KCM7P1,UA-20973992-22,UA-3419582-2,UA-3419582-47",,
https://census.ca.gov/,,"CA Census | Be Counted, California!",CAWeb v.1.11.0,,https://census.ca.gov/wp-content/themes/CAWeb/src/version-5.5/cagov.core.js?ver=1.11.0,https://census.ca.gov/wp-includes/js/jquery/jquery.min.js?ver=3.7.1,"G-69TD0KNT0F,G-TZTNZMGXJE,G-Y7T2KCM7P1,UA-21431721-42,UA-3419582-2,UA-3419582-47",,
https://centralregistry.ca.gov/,,,,,,,,ETIMEDOUT,connect ETIMEDOUT 67.157.158.190:443
https://ceqanet.opr.ca.gov/,,CEQAnet,,,https://california.azureedge.net/cdt/statetemplate/5.5.21/js/cagov.core.min.js,https://ajax.googleapis.com/ajax/libs/jquery/3.2.1/jquery.min.js,UA-3419582-2,,
https://cers.calepa.ca.gov/,,CERS | California Environmental Reporting System,CAWeb v.1.11.0,,https://cers.calepa.ca.gov/wp-content/themes/CAWeb/src/version-5.5/cagov.core.js?ver=1.11.0,https://cers.calepa.ca.gov/wp-includes/js/jquery/jquery.min.js?ver=3.7.1,"G-69TD0KNT0F,G-VKFSF099FL,G-Y7T2KCM7P1,UA-3419582-2,UA-3419582-47",,
https://cfb.ca.gov/,,Home - Cemetery and Funeral Bureau,,,,https://cdnjs.cloudflare.com/ajax/libs/jquery/3.5.1/jquery.min.js,"G-69TD0KNT0F,G-G28V3EMKNN,UA-64276560-5",,
https://cgcc.ca.gov/,,,,,,,,ECONNRESET,read ECONNRESET
https://changeville.ca.gov/,,,,,,,,ETIMEDOUT,connect ETIMEDOUT 208.70.247.56:443
https://chfa.ca.gov/,,,,,,,,ETIMEDOUT,connect ETIMEDOUT 165.235.8.7:443
https://chhsa.ca.gov/,,,,,,,,ECONNREFUSED,connect ECONNREFUSED 158.96.244.105:443
https://chhsaio.ca.gov/,,,,,,,,ENOTFOUND,getaddrinfo ENOTFOUND chhsaio.ca.gov
https://childsupport.ca.gov/,,CA Child Support Services,CAWeb v.1.11.0,,https://childsupport.ca.gov/wp-content/themes/CAWeb/src/version-6.0/cagov.core.js?ver=1.11.0,https://childsupport.ca.gov/wp-includes/js/jquery/jquery.min.js?ver=3.7.1,"G-69TD0KNT0F,G-V0P67RG6BT,G-Y7T2KCM7P1,GTM-WGNN9NP,UA-21970760-39,UA-3419582-2,UA-3419582-47",,
https://childsworld.ca.gov/,https://cdss.ca.gov/inforesources/guides,Information Resources Guide,DotNetNuke ,,https://cdss.ca.gov/Portals/_default/skins/cagov-santabarbara%20-%20partner//js/cagov.core.js,https://cdss.ca.gov/Resources/libraries/jQuery/03_02_01/jquery.js?cdv=630,UA-77698819-4,,
https://chiro.ca.gov/,,"Board of Chiropractic Examiners, California Department of Consumer Affairs",,,,,"G-69TD0KNT0F,G-K09KJQJEEF,UA-20973992-13",,
https://cio.ca.gov/,,,,,,,,ENOTFOUND,getaddrinfo ENOTFOUND cio.ca.gov
https://cityofblythe.ca.gov/,,"The Official Site of Blythe, CA! | Official Website",,,,https://cityofblythe.ca.gov/Assets/Scripts/jQuery/jquery-2.2.4.min.js,"G-PXD95BNVLQ,GTM-K73C5PS,GTM-WKGQMK5",,
https://cityofcorcoran.ca.gov/,,"Corcoran, Ca",,,,https://cityofcorcoran.ca.gov/_assets_/js/jquery.min.js,,,
https://cityofmadera.ca.gov/,,,,,,,,ERR_TLS_CERT_ALTNAME_INVALID,"Hostname/IP does not match certificate's altnames: Host: cityofmadera.ca.gov. is not in the cert's altnames: DNS:*.madera.gov, DNS:*.cityofmadera.com, DNS:*.cityofmadera.gov, DNS:cityofmadera.com, DNS:cityofmadera.gov, DNS:madera.gov"
https://cityofrohnertpark.ca.gov/,,,,,,,,ENOTFOUND,getaddrinfo ENOTFOUND cityofrohnertpark.ca.gov
